timestamp,favorite genre,liked features,liked features reduced,least favorite genre, disliked features,disliked reduced,activity|genre pairs,picked,actual genre,genre classified,familiar,intended emotion,expected activities,expected reduced,descriptive adjectives
6/8/2018 23:50,world,"i love hearing different languages and different flavours/styles from different cultures, familiarizing myself with the artists' lifestyles and countries too.","multilingual,varied style,multicultural",country,it's just overprocessed pop with fake accents and dumb lyrics.,"overprocessed, accent, simplistic",unknown,7,pop,electronic,no,"content, energetic, happy, proud",skateboard??,physical,cringey
6/8/2018 23:51,classical,the complexity and multi-layered composition of sophisticated pieces,"complexity,multi-layered,sophisticated",rap,it lacks complex sound and sophisticated instrumentation,simplistic,"studying;videogames;working|classical,driving|rock",11,country,pop,maybe,loving,"driving, general background music","travel, generic","longing, interesting, ordinary"
6/9/2018 0:14,pop,pop is a very broad term that (in my eyes) encompasses a huge range of music ),"broad,encompassing",country,every song sounds the same,similar,traveling|indie,7,pop,electronic,no,hurt,sitting on a train,travel,"lustful, hopeful"
6/9/2018 0:18,electronic,"originality, wide range of subgenres, focus on sound value rather than lyrics","originality,variability,sound focus",pop,almost never has any deep meaning; melodies are usually generic and almost always unpleasant to listen to,"shallow, generic, unpleasant","depression|electronic,studying|classical",9,folk,country,no,"content, inspired, loving, proud",torturing my neglective stepfather,,"mature, inspiring, calm, empathetic"
6/9/2018 0:29,electronic,the emotions i feel when i listen to it,emotional,reggae,the singing style,accent,,18,pop,pop,no,"content, happy, inspired, loving, proud",cuddling with significant other,cuddle,"hip, newer, new-age, loving"
6/9/2018 0:33,rock,,,classical,,,,12,electronic,electronic,no,,,,"eclectic, erratic"
6/9/2018 0:46,classical,musical depth,depth,country,"i don't like the sound (vocally) and the lyrics, typically","vocals, themes","sometimes i read with a recording on. i typically just go to concerts or recitals at my university, so that is the activity most of the time. ",2,rap,rap,yes,"determined, energetic","car ride, would do well to keep energy up",travel,"passionate, socially aware, simple"
6/9/2018 0:50,rock,"the tempo, the beat","tempo,beat",rap,everything,everything,rock-writing,20,country,country,no,board,changing song,,"shit, annoying"
6/9/2018 1:04,rock,,,country,,,,11,country,country,no,inspired,,,
6/9/2018 1:08,rock,solos,solos,pop,the emptiness,empty,programming - progressive rock,8,world,world,no,energetic,dancing,dance,cornemuse
6/9/2018 1:18,rap,a rappers flow,flow,country,everything i guess,everything,gaming and hip hop,15,reggae,reggae,no,peaceful,smoking some green ,smoking,mellow relaxing vibing
6/9/2018 1:19,rock,i love the variety in the lyrics and the raw energy it has.,"variety,lyrics,energy",country,too twangy and annoying.,"twangy, annoying",i’m not sure what this question is asking.,3,rock,pop,yes,determined,hang out at a casual gathering,socializing,"repetitive, blue, static"
6/9/2018 1:22,reggae,,,rap,the themes in most songs that i've heard.,themes,,18,pop,pop,no,"confused, inspired",,,
6/9/2018 1:23,rock,they actually tell stories with their songs instead of talkjng about bitches and hoes and fucking tractors. plus the music is the most diverse of all genres,"story,diverse",country,"all they talk about is girls in jeans, cheap beer, trucks, and fucking their tractors. plus the singers sound like fucking idiots with their accents. ","accent, themes","rock and everything, white guy rap and parties, country and idiots who don't know anything about music,  ",8,world,pop,no,,hating my life,,"french, incomprehensible, meh, boring "
6/9/2018 1:40,rock,"heaviness, lyrics ","heaviness,lyrics ",country,,,,6,world,world,no,"energetic, unsure",dance,dance,
6/9/2018 1:43,classical,,,electronic,,,,8,world,pop,no,,,,
6/9/2018 1:46,electronic,"faster songs can get you pumped up, slower songs can be more beautiful. the melodies in most electronic songs are really catchy and i tend to like mucus that's easy to remember. plus i always love the look on people's faces when they find out a music education major likes that ""electronic crap that's isn't real music""","energy,beautiful,catchy,shocking",country,"usually the subject of the songs. a lot of country music is about beer, girls, and trucks. i love all of those things but i feel that too many country songs are focused on those things. i don't mind the sound and style of country music though.",themes,"i like driving to edm, rock, and funk, it keeps me awake and alert. i love studying to classical music because it helps me focus on my work and not the lyrics to a song. i listen to pop music and edm when i'm stretching and working out because it gets me pumped up i guess.",4,blues,blues,yes,nostalgia,"riding the bus, relaxing in the bathtub, laying in bed or at a cafe while on the computer","travel, relaxing","slow, romantic, nostalgic"
6/9/2018 1:51,rap,i honestly can’t say i have a “favorite”.... but i love rap for  being a creative medium to tell personal truths. there’s no story attached to a melody. i see more creative versus and bars that genuinely surprise me and make me think.,"truthful,creative structure,surprising",electronic,it doesn’t add anything to music as a whole. i just don’t see the artistry behind it.,"shallow, simplistic","i wish this question was defined more specifically. when i’m driving i like fun upbeat songs, usually old party hits i know the words to. when i’m relaxing i like folk music. when i’m cleaning i like rap. was this what you meant?",4,blues,blues,no,"depressed, lost",not much.... drive,travel,"emotive, soulful, slow. melodic"
6/9/2018 1:52,rap,,,country,"all modern country songs are terrible. badically i love johnny cash, i love ccr, but hate any modern country artist",,rap and pop and dancing,7,pop,pop,no,"happy, hurt, loving, unknown",driving,travel,"pop, funky, generic, familiar"
6/9/2018 1:58,classical,the entire symphony and i like the variety the best.,"variety,collaborative",blues,,,i listen to classical music while doing frustrating things. it calms me.,21,blues,blues,no,hurt,"chillax, mingle","relaxing, socializing",repetitive
